hour,day,speed,free_speed,speed_ratio,is_weekend,is_rush_hour,is_night,congestion
6,4,62.4,100,0.624,0,0,0,1
6,2,48.3,50,0.966,0,0,0,0
3,3,20.7,30,0.69,0,0,1,1
5,2,41.3,50,0.826,0,0,1,0
21,5,54.2,60,0.9033333333333334,0,0,0,0
9,4,47.6,100,0.47600000000000003,0,1,0,1
18,4,6.9,60,0.115,0,1,0,2
18,7,49.4,50,0.988,1,1,0,0
13,2,48.5,60,0.8083333333333333,0,0,0,0
14,4,23.0,50,0.46,0,0,0,1
13,1,27.0,50,0.54,0,0,0,1
5,6,59.5,60,0.9916666666666667,1,0,1,0
11,2,20.8,60,0.3466666666666667,0,0,0,2
14,6,41.6,50,0.8320000000000001,1,0,0,0
15,5,27.7,50,0.5539999999999999,0,0,0,1
12,1,37.7,50,0.754,0,0,0,0
8,1,47.7,50,0.9540000000000001,0,1,0,0
16,3,57.5,80,0.71875,0,0,0,1
8,4,17.0,80,0.2125,0,1,0,2
15,7,39.7,60,0.6616666666666667,1,0,0,1
7,6,62.4,80,0.78,1,1,0,0
13,3,53.9,80,0.67375,0,0,0,1
6,3,45.4,60,0.7566666666666666,0,0,0,0
12,3,16.2,30,0.5399999999999999,0,0,0,1
3,6,44.2,50,0.884,1,0,1,0
3,5,23.7,30,0.7899999999999999,0,0,1,0
1,2,77.4,80,0.9675,0,0,1,0
11,4,12.6,60,0.21,0,0,0,2
22,4,31.7,60,0.5283333333333333,0,0,1,1
19,5,70.2,80,0.8775000000000001,0,1,0,0
8,6,41.7,50,0.8340000000000001,1,1,0,0
14,3,39.2,60,0.6533333333333334,0,0,0,1
16,6,18.6,100,0.18600000000000003,1,0,0,2
1,3,45.6,60,0.76,0,0,1,0
16,2,49.2,60,0.8200000000000001,0,0,0,0
0,1,43.6,50,0.872,0,0,1,0
5,7,31.1,60,0.5183333333333333,1,0,1,1
5,5,53.0,60,0.8833333333333333,0,0,1,0
15,1,46.2,50,0.924,0,0,0,0
2,4,55.7,60,0.9283333333333333,0,0,1,0
18,4,39.0,60,0.65,0,1,0,1
6,2,53.1,80,0.6637500000000001,0,0,0,1
17,7,31.0,60,0.5166666666666667,1,1,0,1
15,2,81.5,100,0.815,0,0,0,0
0,6,25.2,80,0.315,1,0,1,2
8,1,24.3,60,0.405,0,1,0,2
23,6,61.7,80,0.77125,1,0,1,0
7,4,8.3,80,0.10375000000000001,0,1,0,2
2,1,26.6,30,0.8866666666666667,0,0,1,0
21,3,55.7,60,0.9283333333333333,0,0,0,0
0,6,38.3,60,0.6383333333333333,1,0,1,1
6,3,28.6,60,0.4766666666666667,0,0,0,1
18,6,49.7,50,0.9940000000000001,1,1,0,0
12,3,54.4,80,0.6799999999999999,0,0,0,1
0,4,31.0,60,0.5166666666666667,0,0,1,1
15,3,27.8,60,0.4633333333333333,0,0,0,1
11,4,58.3,60,0.9716666666666666,0,0,0,0
8,5,42.9,100,0.429,0,1,0,2
2,4,67.7,80,0.8462500000000001,0,0,1,0
22,1,53.4,60,0.89,0,0,1,0
21,2,80.2,100,0.802,0,0,0,0
14,6,49.4,60,0.8233333333333334,1,0,0,0
16,1,30.5,50,0.61,0,0,0,1
9,7,54.2,60,0.9033333333333334,1,1,0,0
6,1,46.1,60,0.7683333333333333,0,0,0,0
13,6,44.7,80,0.5587500000000001,1,0,0,1
1,7,47.3,60,0.7883333333333333,1,0,1,0
21,2,60.8,80,0.76,0,0,0,0
14,6,41.4,60,0.69,1,0,0,1
11,4,45.8,60,0.7633333333333333,0,0,0,0
19,6,39.6,60,0.66,1,1,0,1
12,2,56.9,60,0.9483333333333334,0,0,0,0
18,4,40.3,80,0.5037499999999999,0,1,0,1
22,7,47.6,60,0.7933333333333333,1,0,1,0
0,7,46.4,50,0.9279999999999999,1,0,1,0
7,5,17.5,50,0.35,0,1,0,2
4,6,71.3,80,0.89125,1,0,1,0
18,5,23.8,50,0.47600000000000003,0,1,0,1
14,1,9.6,60,0.16,0,0,0,2
15,2,44.0,80,0.55,0,0,0,1
4,7,12.0,30,0.4,1,0,1,2
19,7,8.1,30,0.26999999999999996,1,1,0,2
23,5,59.2,60,0.9866666666666667,0,0,1,0
1,1,76.0,80,0.95,0,0,1,0
11,2,57.2,60,0.9533333333333334,0,0,0,0
10,5,38.3,60,0.6383333333333333,0,0,0,1
10,4,42.2,50,0.8440000000000001,0,0,0,0
18,2,49.8,60,0.83,0,1,0,0
9,2,35.6,60,0.5933333333333334,0,1,0,1
20,2,21.0,60,0.35,0,0,0,2
20,5,46.9,50,0.938,0,0,0,0
2,1,65.0,80,0.8125,0,0,1,0
23,7,57.4,100,0.574,1,0,1,1
12,7,78.1,80,0.97625,1,0,0,0
19,1,13.9,60,0.23166666666666666,0,1,0,2
11,5,83.0,100,0.83,0,0,0,0
13,7,63.3,100,0.633,1,0,0,1
20,5,45.9,50,0.9179999999999999,0,0,0,0
3,5,61.8,80,0.7725,0,0,1,0
9,2,7.5,30,0.25,0,1,0,2
22,5,47.1,60,0.785,0,0,1,0
9,2,28.5,60,0.475,0,1,0,1
12,2,9.0,60,0.15,0,0,0,2
4,6,84.3,100,0.843,1,0,1,0
19,1,35.6,100,0.35600000000000004,0,1,0,2
5,4,26.7,30,0.89,0,0,1,0
9,2,11.2,60,0.18666666666666665,0,1,0,2
17,4,21.7,60,0.36166666666666664,0,1,0,2
8,7,79.2,80,0.99,1,1,0,0
16,1,79.3,80,0.99125,0,0,0,0
11,5,97.3,100,0.973,0,0,0,0
21,5,88.8,100,0.888,0,0,0,0
19,1,20.2,60,0.33666666666666667,0,1,0,2
0,5,56.1,60,0.935,0,0,1,0
